Product_id,BrandName,Category,Individual_category,category_by_Gender,DiscountPrice (in Rs),OriginalPrice (in Rs),DiscountOffer,SizeOption,Ratings,Reviews,Column1,Column2,Column3
10845288,Tokyo Talkies,Western,dresses,Women,,2199,61% OFF,"S, M, L, XL",4.3,939,61%,OFF,1341.39
13709578,Athena,Western,dresses,Women,,2699,30% OFF,"XS, S, M, L, XL, XXL",4.3,939,30%,OFF,809.7
8903777,Roadster,Bottom Wear,jeans,Men,,2699,,"28, 30, 32, 34, 36, 38, 40",3.4,938,,, 
5125962,HIGHLANDER,Bottom Wear,trousers,Men,704,1499,53% OFF,"30, 32, 34, 36",4,938,53%,OFF,794.47
15193768,H&M,Topwear,sweatshirts,Men,,1499,,"XS, S, M, L, XL, XXL",4.3,938,,, 
2388302,Roadster,Topwear,tshirts,Men,,899,,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.2,938,,, 
11173950,Sangria,Indian Wear,kurtas,Women,549,1099,50% OFF,"XS, S, M, L, XL, XXL, 3XL",4.3,938,50%,OFF,549.5
14675114,KALINI,Indian Wear,sarees,Women,639,1999,68% OFF,Onesize,4,938,68%,OFF,1359.32
1718905,Harvard,Western,shirts,Women,,1599,55% OFF,"S, M, L, XL",4.2,938,55%,OFF,879.45
10961164,Cottinfab,Western,jumpsuit,Women,,2449,60% OFF,"S, M, L, XL, XXL",4.1,938,60%,OFF,1469.4
7255260,Mast & Harbour,Bottom Wear,jeans,Men,719,1799,60% OFF,"28, 30, 32, 34, 36",3.9,937,60%,OFF,1079.4
11404294,Roadster,Western,tshirts,Women,,599,50% OFF,"XS, S, M, L, XL",4.3,937,50%,OFF,299.5
1866650,HRX by Hrithik Roshan,Bottom Wear,track-pants,Men,599,1499,60% OFF,"S, M, L, XL, XXL",4,936,60%,OFF,899.4
1987411,HRX by Hrithik Roshan,Sports Wear,tshirts,Men,279,699,60% OFF,"S, M, L, XL, XXL",4.1,936,60%,OFF,419.4
11044440,HIGHLANDER,Topwear,shirts,Men,683,1199,43% OFF,"39, 40, 42, 44",4.1,936,43%,OFF,515.57
10397849,Roadster,Topwear,shirts,Men,749,1499,50% OFF,"38, 40, 42, 44",4.4,936,50%,OFF,749.5
9705197,Moda Rapido,Plus Size,tshirts,Women,254,849,70% OFF,"XS, S, M, L, XL, XXL, 3XL",3.8,936,70%,OFF,594.3
10463330,RARE,Western,trousers,Women,,1899,55% OFF,"28, 30, 32, 34",4.1,936,55%,OFF,1044.45
12181796,Campus Sutra,Western,jackets,Women,,3499,60% OFF,"S, M, L, XL",3.9,936,60%,OFF,2099.4
8325439,Mast & Harbour,Western,tshirts,Women,,799,Rs. 300 OFF,"XS, S, M, L, XL",4.2,936,,300,300
